time,speed,GPS_long,GPS_lat,GPS_heading,long_accel,lat_accel,vector_accel,vert_accel,hr,scl,LaneChangeLeft,LaneChangeRight,TurnLeft,TurnRight,GoStraight
5,0,-83.2309615,42.3194039,16.30430031,-0.119661458,-0.36108073,0.381388509,0.965625,93.06221746,71.8611899,0,0,0,0,1
5.1,0,-83.2309615,42.3194039,16.28252029,-0.106328125,-0.376471353,0.392011976,0.947265625,92.64113545,71.92091121,0,0,0,0,1
5.2,0,-83.2309615,42.3194039,16.28252029,-0.094361979,-0.37144531,0.383468649,0.932421875,92.32220713,71.98623953,0,0,0,0,1
5.3,0,-83.2309615,42.3194039,20.34200859,-0.109791666,-0.370950523,0.387647092,0.976953125,92.12150558,72.04886864,0,0,0,0,1
5.4,0,-83.2309615,42.3194039,20.34200859,-0.104700521,-0.382057291,0.398643771,0.9796875,92.04252099,72.11103647,0,0,0,0,1
5.5,0,-83.2309615,42.3194039,18.37308884,-0.081341146,-0.421041662,0.433913568,0.92734375,92.07663717,72.15699683,0,0,0,0,1
5.6,0,-83.2309615,42.3194039,18.37308884,-0.045013021,-0.428268233,0.433167854,0.933203125,92.20474793,72.20983562,0,0,0,0,1
5.7,0,-83.2309615,42.3194039,16.51152992,-0.043945313,-0.417356768,0.421410879,0.946484375,92.39977072,72.28008415,0,0,0,0,1
5.8,0,-83.2309615,42.3194039,16.51152992,-0.069283855,-0.392877606,0.400746688,0.9578125,92.62974436,72.3314798,0,0,0,0,1
5.9,0,-83.2309615,42.3194039,15.20201015,-0.087565104,-0.381940109,0.392741621,0.9671875,92.86116486,72.39104776,0,0,0,0,1
6,0,-83.2309615,42.3194039,15.20201015,-0.089557291,-0.361562499,0.372985205,0.951953125,93.06221746,72.45098122,0,0,0,0,1
6.1,0,-83.2309615,42.3194039,15.62606907,-0.078541667,-0.348736981,0.3581049,0.97890625,93.16894962,72.51202062,0,0,0,0,1
6.2,0,-83.2309615,42.3194039,15.62606907,-0.071809897,-0.349427089,0.357480407,0.978515625,93.19185937,72.55776561,0,0,0,0,1
6.3,0,-83.2309615,42.3194039,14.70938969,-0.061041668,-0.379401046,0.384812275,0.955859375,93.12306513,72.61282766,0,0,0,0,1
6.4,0,-83.2309615,42.3194039,14.70938969,-0.061692708,-0.401302081,0.406392691,0.953125,92.96440304,72.66211092,0,0,0,0,1
6.5,0,-83.2309615,42.3194039,15.50224972,-0.065013021,-0.403111979,0.408604822,0.940234375,92.72650007,72.72536528,0,0,0,0,1
6.6,0,-83.2309615,42.3194039,15.50224972,-0.072252604,-0.397005206,0.403646907,0.958203125,92.42694319,72.77930893,0,0,0,0,1
6.7,0,-83.2309615,42.3194039,18.12199974,-0.071432292,-0.388815102,0.395434031,0.953125,92.08778992,72.83515166,0,0,0,0,1
6.8,0,-83.2309615,42.3194039,18.12199974,-0.070898438,-0.38970052,0.396186963,0.95546875,91.73272628,72.88857623,0,0,0,0,1
6.9,0,-83.2309615,42.3194039,21.62499046,-0.0715625,-0.392122403,0.398681766,0.952734375,91.38420417,72.94755406,0,0,0,0,1
7,0,-83.2309615,42.3194039,21.62499046,-0.069036459,-0.393971354,0.400123036,0.95546875,91.06087945,73.00284675,0,0,0,0,1
7.1,0,-83.2309615,42.3194039,19.95506096,-0.064674479,-0.395924479,0.401302034,0.951953125,90.7389755,73.06059802,0,0,0,0,1
7.2,0,-83.2309615,42.3194039,19.95506096,-0.065651042,-0.391510418,0.397148797,0.949609375,90.45548831,73.1131924,0,0,0,0,1
7.3,0,-83.2309615,42.3194039,23.95657921,-0.066406251,-0.399440101,0.405198324,0.959765625,90.21366406,73.17196812,0,0,0,0,1
7.4,0,-83.2309615,42.3194039,23.95657921,-0.071197917,-0.392734376,0.399631074,0.94296875,90.01116588,73.22065711,0,0,0,0,1
7.5,0,-83.2309615,42.3194039,27.65015984,-0.071640626,-0.401184896,0.40840233,0.955078125,89.84085862,73.28102455,0,0,0,0,1
7.6,0,-83.2309615,42.3194039,27.65015984,-0.091992188,-0.397838545,0.40964033,0.960546875,89.69204508,73.32729067,0,0,0,0,1
7.7,0,-83.2309615,42.3194039,27.65015984,-0.099036458,-0.402447918,0.415540919,0.935546875,89.5519853,73.37972372,0,0,0,0,1
7.8,0,-83.2309615,42.3194039,27.65015984,-0.108229167,-0.395729166,0.410720575,0.965625,89.40751431,73.43185896,0,0,0,0,1
7.9,0,-83.2309615,42.3194039,31.2388401,-0.107617188,-0.388085938,0.402920184,0.956640625,89.24657934,73.49697808,0,0,0,0,1
8,0,-83.2309615,42.3194039,31.2388401,-0.108945312,-0.389739582,0.405248535,0.95,89.05954144,73.5475455,0,0,0,0,1
8.1,0,-83.2309615,42.3194039,26.52069092,-0.104791667,-0.389453125,0.404260841,0.95,88.8030616,73.60071125,0,0,0,0,1
8.2,0,-83.2309615,42.3194039,26.52069092,-0.10032552,-0.382330728,0.396349782,0.94921875,88.50621185,73.65337451,0,0,0,0,1
8.3,0,-83.2309615,42.3194039,26.47562981,-0.100651041,-0.34808594,0.363304511,0.98984375,88.17529693,73.70553215,0,0,0,0,1
8.4,0,-83.2309615,42.3194039,26.47562981,-0.098815104,-0.32016927,0.33551892,0.96796875,87.82142457,73.7718669,0,0,0,0,1
8.5,0,-83.2309615,42.3194039,28.84525108,-0.09029948,-0.304179689,0.317692605,0.99140625,87.45922969,73.83146032,0,0,0,0,1
8.6,0,-83.2309615,42.3194039,28.84525108,-0.084960938,-0.317343754,0.32870549,0.9859375,87.10517881,73.88780995,0,0,0,0,1
8.7,0,-83.2309615,42.3194039,25.7292099,-0.081549479,-0.3258724,0.336031947,0.977734375,86.77564681,73.93141606,0,0,0,0,1
8.8,0,-83.2309615,42.3194039,25.7292099,-0.078268229,-0.324557292,0.333975422,0.978515625,86.4849819,73.98312653,0,0,0,0,1
8.9,0,-83.2309615,42.3194039,30.71303177,-0.073658855,-0.318736979,0.327164999,0.980859375,86.24377589,74.04033153,0,0,0,0,1
9,0,-83.2309615,42.3194039,30.71303177,-0.073723958,-0.316054684,0.324581423,0.980078125,86.05753443,74.08753211,0,0,0,0,1
9.1,0,-83.2309615,42.3194039,36.09708786,-0.079114582,-0.319466147,0.329202265,0.983203125,85.88883594,74.15211238,0,0,0,0,1
9.2,0,-83.2309615,42.3194039,36.09708786,-0.080546875,-0.324726561,0.334661958,0.978515625,85.76278172,74.20278683,0,0,0,0,1
9.3,0,-83.2309615,42.3194039,37.80578995,-0.081796875,-0.32757813,0.337726146,0.9796875,85.67226533,74.25544989,0,0,0,0,1
9.4,0,-83.2309615,42.3194039,37.80578995,-0.078216146,-0.325937495,0.335236907,0.9796875,85.60702231,74.30330783,0,0,0,0,1
9.5,0,-83.2309615,42.3194039,36.18540192,-0.077070312,-0.321653646,0.330795982,0.980078125,85.55468149,74.35490458,0,0,0,0,1
9.6,0,-83.2309615,42.3194039,36.18540192,-0.074713542,-0.319635421,0.328280169,0.980859375,85.5019758,74.40558403,0,0,0,0,1
9.7,0,-83.2309615,42.3194039,42.71231079,-0.076445313,-0.320572913,0.329592097,0.9828125,85.43598329,74.46291644,0,0,0,0,1
9.8,0,-83.2309615,42.3194039,42.71231079,-0.078619792,-0.321158847,0.330675554,0.976953125,85.3452744,74.5070327,0,0,0,0,1
9.9,0,-83.2309615,42.3194039,47.60686874,-0.079908854,-0.322669274,0.33243953,0.98203125,85.22086029,74.5550624,0,0,0,0,1
10,0,-83.2309615,42.3194039,47.60686874,-0.07858073,-0.323294273,0.332734728,0.98125,85.05686542,74.60536459,0,0,0,0,1
10.1,0,-83.2309615,42.3194039,51.0363121,-0.078893231,-0.325247398,0.334710464,0.97421875,84.78720728,74.66341783,0,0,0,0,1
10.2,0,-83.2309615,42.3194039,51.0363121,-0.080026042,-0.325572926,0.335290495,0.983203125,84.48092848,74.71691326,0,0,0,0,1
10.3,0,-83.2309615,42.3194039,48.32025909,-0.081445312,-0.324687493,0.334763435,0.979296875,84.14690561,74.77761931,0,0,0,0,1
10.4,0,-83.2309615,42.3194039,48.32025909,-0.081236979,-0.324687493,0.334709057,0.97890625,83.79658769,74.82298021,0,0,0,0,1
10.5,0,-83.2309615,42.3194039,48.32025909,-0.081028645,-0.324921873,0.334888178,0.98125,83.44307874,74.86043513,0,0,0,0,1
10.6,0,-83.2309615,42.3194039,48.32025909,-0.081158854,-0.325286463,0.335275692,0.978515625,83.10001101,74.86490671,0,0,0,0,1
10.7,0,-83.2309615,42.3194039,50.01702118,-0.080755208,-0.324791658,0.334693521,0.97734375,82.78030364,74.92280099,0,0,0,0,1
10.8,0,-83.2309615,42.3194039,50.01702118,-0.08092448,-0.324817702,0.334755549,0.978515625,82.49492359,74.96090239,0,0,0,0,1
10.9,0,-83.2309615,42.3194039,50.31557083,-0.080468751,-0.326731771,0.336503112,0.980078125,82.25177716,75.01169708,0,0,0,0,1
11,0,-83.2309615,42.3194039,50.31557083,-0.080507813,-0.327734381,0.337484902,0.979296875,82.05485841,75.06869701,0,0,0,0,1
11.1,0,-83.2309615,42.3194039,50.08671188,-0.081367188,-0.328020835,0.337970477,0.980078125,81.84059959,75.12888915,0,0,0,0,1
11.2,0.007570608,-83.2309615,42.3194039,50.08671188,-0.082695313,-0.327369797,0.3376596,0.976953125,81.67184687,75.16993667,0,0,0,0,1
11.3,0.022829865,-83.2309615,42.3194039,54.1388588,-0.082968751,-0.327473968,0.33782768,0.98046875,81.54422998,75.21403679,0,0,0,0,1
11.4,0.038046826,-83.2309615,42.3194039,54.1388588,-0.082239584,-0.328515622,0.338665619,0.97890625,81.45012847,75.26212525,0,0,0,0,1
11.5,0.044861708,-83.2309615,42.3194039,48.66529083,-0.080820313,-0.330247396,0.34000614,0.976953125,81.37978466,75.30637996,0,0,0,0,1
11.6,0.054302733,-83.2309615,42.3194039,48.66529083,-0.080052082,-0.332682294,0.342188603,0.97578125,81.32259527,75.3534649,0,0,0,0,1
11.7,0.059899808,-83.2309615,42.3194039,44.2314682,-0.079492188,-0.333489591,0.342839259,0.9765625,81.26843825,75.41145098,0,0,0,0,1
11.8,0.065894188,-83.2309615,42.3194039,44.2314682,-0.08110677,-0.332239583,0.342021671,0.974609375,81.20889582,75.4700333,0,0,0,0,1
11.9,0.077496108,-83.2309615,42.3194039,40.93696976,-0.08106771,-0.328749999,0.338629919,0.98046875,81.13825412,75.52100541,0,0,0,0,1
12,0.076679009,-83.2309615,42.3194039,40.93696976,-0.081861979,-0.324140626,0.334346581,0.977734375,81.0541894,75.56284231,0,0,0,0,1
12.1,0.082624026,-83.2309615,42.3194039,45.13806152,-0.080507813,-0.321302083,0.331254002,0.980859375,80.89449052,75.61415617,0,0,0,0,1
12.2,0.083008178,-83.2309615,42.3194039,45.13806152,-0.081028645,-0.320507813,0.330599847,0.98046875,80.73289658,75.6569685,0,0,0,0,1
12.3,0.088234756,-83.2309615,42.3194039,43.38620758,-0.079973958,-0.321940109,0.331733945,0.9796875,80.58203852,75.70584701,0,0,0,0,1
12.4,0.092844483,-83.2309615,42.3194039,43.38620758,-0.080117188,-0.322135419,0.331960666,0.978515625,80.45682173,75.76192548,0,0,0,0,1
12.5,0.103795319,-83.2309615,42.3194039,38.24707031,-0.079778645,-0.322656244,0.332385245,0.980859375,80.37332675,75.81716296,0,0,0,0,1
12.6,0.107116631,-83.2309615,42.3194039,38.24707031,-0.080638021,-0.322721347,0.332653385,0.9796875,80.34748369,75.86813647,0,0,0,0,1
12.7,0.111463866,-83.2309615,42.3194039,41.38639069,-0.080559896,-0.32277343,0.332682636,0.978515625,80.39362468,75.93074756,0,0,0,0,1
12.8,0.118324599,-83.2309615,42.3194039,41.38639069,-0.080768231,-0.322473955,0.332443503,0.98125,80.52304199,75.98137202,0,0,0,0,1
12.9,0.139338227,-83.2309615,42.3194039,40.60342789,-0.080598959,-0.322617182,0.332544854,0.98125,80.74269272,76.02175518,0,0,0,0,1
13,0.156911953,-83.2309615,42.3194039,40.60342789,-0.080872396,-0.322252604,0.332261077,0.978125,81.0541894,76.08176602,0,0,0,0,1
13.1,0.172386536,-83.2309615,42.3194039,44.21734238,-0.081080729,-0.321848965,0.331920651,0.980078125,81.38907045,76.12698038,0,0,0,0,1
13.2,0.181237456,-83.2309615,42.3194039,44.21734238,-0.081080729,-0.321354169,0.33143715,0.982421875,81.80659342,76.17107329,0,0,0,0,1
13.3,0.190918159,-83.2309615,42.3194039,47.23022079,-0.081119793,-0.321119791,0.331218842,0.980078125,82.29507825,76.2194649,0,0,0,0,1
13.4,0.202289577,-83.2309615,42.3194039,47.23022079,-0.080677083,-0.319244793,0.329295486,0.98125,82.83792435,76.27825861,0,0,0,0,1
13.5,0.2085205,-83.2309615,42.3194039,47.23022079,-0.080872396,-0.317786467,0.3279295,0.983984375,83.41493025,76.33552747,0,0,0,0,1
13.6,0.220752998,-83.2309615,42.3194039,47.23022079,-0.081289063,-0.316940102,0.327214527,0.9796875,84.00388191,76.37983152,0,0,0,0,1
13.7,0.227264528,-83.2309615,42.3194039,42.05142975,-0.082278646,-0.319127607,0.329575595,0.98203125,84.58225519,76.41544345,0,0,0,0,1
13.8,0.234552118,-83.2309615,42.3194039,42.05142975,-0.081562499,-0.322005206,0.332207555,0.979296875,85.12887766,76.46697226,0,0,0,0,1
13.9,0.256471142,-83.2309615,42.3194039,45.04417038,-0.080794271,-0.324713537,0.334645042,0.98125,85.62540998,76.5210077,0,0,0,0,1
14,0.286895996,-83.2309615,42.3194039,45.04417038,-0.080429687,-0.322903648,0.332800347,0.9765625,86.05753443,76.5593355,0,0,0,0,1
14.1,0.299038705,-83.2309615,42.3194039,40.22538376,-0.081901044,-0.319921872,0.33025732,0.980859375,86.35133015,76.61397923,0,0,0,0,1
14.2,0.309636992,-83.2309615,42.3194039,40.22538376,-0.082265626,-0.317382813,0.327883333,0.98671875,86.57263352,76.67282404,0,0,0,0,1
14.3,0.327133062,-83.2309615,42.3194039,42.79932022,-0.084388021,-0.316770837,0.327855828,0.980078125,86.72676301,76.73454962,0,0,0,0,1
14.4,0.341661128,-83.2309615,42.3194039,42.79932022,-0.086093751,-0.319973958,0.331390414,0.980078125,86.82358737,76.78713538,0,0,0,0,1
14.5,0.332940683,-83.2309615,42.3194039,40.80799866,-0.088867188,-0.320976558,0.333076677,0.979296875,86.87668964,76.84264738,0,0,0,0,1
14.6,0.32609821,-83.2309615,42.3194039,40.80799866,-0.089453124,-0.325781253,0.337859836,0.978125,86.90219653,76.8795241,0,0,0,0,1
14.7,0.320960081,-83.2309615,42.3194039,46.38832855,-0.089335937,-0.329283854,0.341218576,0.977734375,86.91736304,76.91920069,0,0,0,0,1
14.8,0.319955635,-83.2309615,42.3194039,46.38832855,-0.089960938,-0.336692709,0.348532704,0.976171875,86.93903223,76.95689288,0,0,0,0,1
14.9,0.314801762,-83.2309615,42.3194039,43.42758942,-0.090260416,-0.341901046,0.353650171,0.973046875,86.98211029,77.01979269,0,0,0,0,1
15,0.309013465,-83.2309615,42.3194039,43.42758942,-0.093216146,-0.342200521,0.354723167,0.972265625,87.05820343,77.06551674,0,0,0,0,1
15.1,0.29432199,-83.23096143,42.31940375,51.36611176,-0.093658853,-0.340442708,0.353141579,0.976953125,87.11074038,77.11420078,0,0,0,0,1
15.2,0.27967363,-83.23096133,42.31940353,51.36611176,-0.091966145,-0.33536458,0.347795907,0.975390625,87.21116041,77.16100821,0,0,0,0,1
15.3,0.265009528,-83.23096123,42.31940331,54.49131012,-0.089466145,-0.330507812,0.34246642,0.975,87.36082403,77.18231746,0,0,0,0,1
15.4,0.270393074,-83.23096113,42.31940309,54.49131012,-0.089986978,-0.327734378,0.339965785,0.978515625,87.55598791,77.19315464,0,0,0,0,1
