time,speed,GPS_long,GPS_lat,GPS_heading,long_accel,lat_accel,vector_accel,vert_accel
8.7,0.432841891,-83.2315904,42.3195197,238.2749023,-0.803619802,-0.079752604,0.808223075,0.709375
8.8,0.466070533,-83.2315904,42.3195197,238.2749023,-0.808424479,-0.095078125,0.815245974,0.6578125
8.9,0.400717306,-83.2315904,42.3195197,241.0799103,-0.807174474,-0.102083333,0.814498156,0.69453125
9,0.444663486,-83.2315904,42.3195197,241.0799103,-0.794257808,-0.100911459,0.801353455,0.740234375
9.1,0.4787018,-83.2315904,42.3195197,238.1349792,-0.79260416,-0.101940104,0.799500066,0.70078125
9.2,0.49825311,-83.2315904,42.3195197,238.1349792,-0.809973967,-0.135807291,0.822233111,0.696875
9.3,0.473747003,-83.2315904,42.3195197,234.0246887,-0.820638013,-0.160611978,0.836891001,0.6640625
9.4,0.381819886,-83.2315904,42.3195197,234.0246887,-0.818802083,-0.162591146,0.835363239,0.673828125
9.5,0.329625082,-83.2315904,42.3195197,231.3953094,-0.808828121,-0.148945311,0.822756124,0.691796875
9.6,0.305698243,-83.2315904,42.3195197,231.3953094,-0.801497382,-0.142369789,0.81410597,0.698828125
9.7,0.26620637,-83.2315904,42.3195197,227.5592499,-0.80390625,-0.146419272,0.817167383,0.701171875
9.8,0.217564195,-83.2315904,42.3195197,227.5592499,-0.804895842,-0.146692708,0.818189555,0.690234375
9.9,0.137759875,-83.2315904,42.3195197,231.2752838,-0.804778641,-0.138854168,0.81673851,0.69765625
10,0.058436379,-83.2315904,42.3195197,231.2752838,-0.805598962,-0.136744791,0.817200381,0.691015625
10.1,0.000796495,-83.2315904,42.3195197,229.4237671,-0.810130215,-0.140937498,0.822428304,0.687890625
10.2,0,-83.2315904,42.3195197,229.4237671,-0.810442704,-0.145351563,0.823471874,0.68203125
10.3,0,-83.2315904,42.3195197,233.794754,-0.811705726,-0.147903644,0.825143057,0.6953125
10.4,0,-83.2315904,42.3195197,233.794754,-0.805598968,-0.144036457,0.818417394,0.68515625
10.5,0,-83.2315904,42.3195197,233.794754,-0.807213533,-0.147617187,0.820638937,0.69453125
10.6,0,-83.2315904,42.3195197,233.794754,-0.80703125,-0.149348961,0.820767611,0.693359375
10.7,0,-83.2315904,42.3195197,237.4150238,-0.812096357,-0.160924478,0.828128481,0.679296875
10.8,0,-83.2315904,42.3195197,237.4150238,-0.809153646,-0.163059896,0.825906485,0.679296875
10.9,0,-83.2315904,42.3195197,234.5965881,-0.80503906,-0.162382811,0.823058987,0.681640625
11,0,-83.2315904,42.3195197,234.5965881,-0.794869792,-0.145638022,0.80982303,0.7140625
11.1,0,-83.2315904,42.3195197,232.8509064,-0.786054689,-0.130872398,0.798361254,0.707421875
11.2,0,-83.2315904,42.3195197,232.8509064,-0.76591146,-0.124921875,0.776300222,0.7140625
11.3,0,-83.2315904,42.3195197,237.4753265,-0.741914064,-0.141940103,0.756297076,0.737890625
11.4,0,-83.2315904,42.3195197,237.4753265,-0.719257808,-0.17300781,0.740750521,0.786328125
11.5,0,-83.2315904,42.3195197,239.6377411,-0.70071615,-0.203528646,0.730082929,0.786328125
11.6,0,-83.2315904,42.3195197,239.6377411,-0.688632804,-0.216848959,0.722166812,0.8109375
11.7,0,-83.2315904,42.3195197,241.9387665,-0.675169265,-0.205859375,0.706289333,0.817578125
11.8,0,-83.2315904,42.3195197,241.9387665,-0.672643226,-0.192356771,0.699985868,0.796875
11.9,0,-83.2315904,42.3195197,243.574707,-0.671679676,-0.183658856,0.69644959,0.80078125
12,0,-83.2315904,42.3195197,243.574707,-0.666393226,-0.188229167,0.692544109,0.771875
12.1,0,-83.2315904,42.3195197,239.8616333,-0.620820314,-0.206067708,0.657193178,0.7390625
12.2,0,-83.2315904,42.3195197,239.8616333,-0.491497391,-0.296406251,0.617124397,0.71796875
12.3,0,-83.2315904,42.3195197,241.6053009,-0.310416669,-0.468489587,0.635536295,0.840625
12.4,0,-83.2315904,42.3195197,241.6053009,-0.214414065,-0.518111986,0.592123234,1.1921875
12.5,0,-83.2315904,42.3195197,242.3060455,-0.17173177,-0.50121094,0.548218334,0.8703125
12.6,0,-83.2315904,42.3195197,242.3060455,-0.166549477,-0.387799481,0.430037537,0.953125
12.7,0,-83.2315904,42.3195197,245.4851227,-0.123945314,-0.376184896,0.399563581,0.97421875
12.8,0,-83.2315904,42.3195197,245.4851227,-0.10298177,-0.367434889,0.382973093,0.96328125
12.9,0,-83.2315904,42.3195197,249.8144684,-0.100664061,-0.391562498,0.405383763,0.9546875
13,0,-83.2315904,42.3195197,249.8144684,-0.098606771,-0.425325522,0.437041798,0.946484375
13.1,0,-83.2315904,42.3195197,253.4037933,-0.098020831,-0.449479172,0.460543266,0.919140625
13.2,0,-83.2315904,42.3195197,253.4037933,-0.114127604,-0.435651043,0.452071083,0.928515625
