time,speed,GPS_long,GPS_lat,GPS_heading,long_accel,lat_accel,vector_accel,vert_accel,LaneChangeLeft,LaneChangeRight,TurnLeft,TurnRight,GoStraight
937.6,1.42469251155853,-83.7029120000109,42.2984152319996,55.8833122253418,-0.29296875,0.0700520798563957,0.301228940486908,0.96484375,0,0,0,0,1
937.7,1.47109484672546,-83.7029120000109,42.298415871989,55.8833122253418,-0.29296875,0.0700520798563957,0.301228940486908,0.96484375,0,0,0,0,1
937.8,1.52450859546661,-83.7029120000109,42.2984165119954,52.5003433227539,-0.29296875,0.0700520798563957,0.301228940486908,0.96484375,0,0,0,0,1
937.9,1.58092725276947,-83.7029120000109,42.2984171520019,52.5003433227539,-0.29296875,0.0701822936534882,0.301258534193039,0.96484375,0,0,0,0,1
938,1.63660335540771,-83.7029120000109,42.2984177919912,54.1489105224609,-0.29296875,0.0703125,0.30128812789917,0.96484375,0,0,0,0,1
938.1,1.69196128845215,-83.7029120000109,42.2984184319977,54.1489105224609,-0.29296875,0.0703125,0.30128812789917,0.96484375,0,0,0,0,1
938.2,1.76301348209381,-83.7029120000109,42.298419071987,52.6184692382813,-0.29296875,0.0703125,0.30128812789917,0.96484375,0,0,0,0,1
938.3,1.8407918214798,-83.7029120000109,42.2984134193419,52.6184692382813,-0.29296875,0.0701822936534882,0.301258534193039,0.96484375,0,0,0,0,1
938.4,1.91006135940552,-83.7029120000109,42.2984061935382,62.7673645019531,-0.29296875,0.0701822936534882,0.301258534193039,0.96484375,0,0,0,0,1
938.5,1.97568428516388,-83.7029120000109,42.2983989677345,62.7673645019531,-0.29296875,0.0701822936534882,0.301258534193039,0.96484375,0,0,0,0,1
938.6,2.04282546043396,-83.7029164799988,42.2983934399963,51.7727699279785,-0.29296875,0.0701822936534882,0.301258534193039,0.96484375,0,0,0,0,1
938.7,2.1106173992157,-83.7029228799913,42.2983886399907,51.7727699279785,-0.29296875,0.0699218735098839,0.301199376583099,0.96484375,0,0,0,0,1
938.8,2.17836546897888,-83.702924799996,42.2983858559977,61.5619506835938,-0.29296875,0.0699218735098839,0.301199376583099,0.96484375,0,0,0,0,1
938.9,2.24609518051147,-83.702924799996,42.2983839359955,61.5619506835938,-0.29296875,0.0699218735098839,0.301199376583099,0.96484375,0,0,0,0,1
939,2.3209023475647,-83.702924799996,42.2983820160018,72.5201797485352,-0.29296875,0.0700520798563957,0.301228940486908,0.96484375,0,0,0,0,1
939.1,2.39874291419983,-83.702924799996,42.2983800959995,72.5201797485352,-0.29296875,0.0699218735098839,0.301199376583099,0.96484375,0,0,0,0,1
939.2,2.49511861801147,-83.702924799996,42.2983781760058,77.5099716186523,-0.29296875,0.0699218735098839,0.301199376583099,0.96484375,0,0,0,0,1
939.3,2.59943723678589,-83.7029262933253,42.2983731200011,77.5099716186523,-0.29296875,0.0699218735098839,0.301199376583099,0.96484375,0,0,0,0,1
939.4,2.70992851257324,-83.7029284266562,42.2983667199964,89.7891464233398,-0.29296875,0.0700520798563957,0.301228940486908,0.96484375,0,0,0,0,1
939.5,2.82306504249573,-83.702930559987,42.2983603200003,89.7891464233398,-0.29296875,0.0700520798563957,0.301228940486908,0.96484375,0,0,0,0,1
939.6,2.89713883399963,-83.7029311999886,42.2983542933285,94.6708068847656,-0.29296875,0.0701822936534882,0.301258534193039,0.96484375,0,0,0,0,1
939.7,2.95447134971619,-83.7029311999886,42.2983484266626,94.6708068847656,-0.29296875,0.0700520798563957,0.301228940486908,0.96484375,0,0,0,0,1
939.8,3.00469422340393,-83.7029311999886,42.2983425599966,97.2231674194336,-0.29296875,0.0701822936534882,0.301258534193039,0.96484375,0,0,0,0,1
939.9,3.05187010765076,-83.7029311999886,42.2983366933307,97.2231674194336,-0.29296875,0.0701822936534882,0.301258534193039,0.96484375,0,0,0,0,1
940,3.10344076156616,-83.7029311999886,42.2983308266733,101.300849914551,-0.29296875,0.0700520798563957,0.301228940486908,0.96484375,0,0,0,0,1
940.1,3.15689492225647,-83.7029311999886,42.2983249600074,101.300849914551,-0.29296875,0.0699218735098839,0.301199376583099,0.96484375,0,0,0,0,1
940.2,3.21850419044495,-83.7029311999886,42.298320959997,108.174285888672,-0.29296875,0.0699218735098839,0.301199376583099,0.96484375,0,0,0,0,1
940.3,3.28360867500305,-83.7029311999886,42.2983177599989,108.174285888672,-0.29296875,0.0700520798563957,0.301228940486908,0.96484375,0,0,0,0,1
940.4,3.33531880378723,-83.7029356799996,42.2983145600009,113.518547058105,-0.29296875,0.0701822936534882,0.301258534193039,0.96484375,0,0,0,0,1
940.5,3.38128876686096,-83.7029420799922,42.2983113600029,113.518547058105,-0.29296875,0.0700520798563957,0.301228940486908,0.96484375,0,0,0,0,1
940.6,3.39019107818604,-83.7029439999969,42.2983070400021,119.692276000977,-0.29296875,0.0701822936534882,0.301258534193039,0.96484375,0,0,0,0,1
940.7,3.38320755958557,-83.7029439999969,42.2983022400007,119.692276000977,-0.29296875,0.0701822936534882,0.301258534193039,0.96484375,0,0,0,0,1
940.8,3.40511536598206,-83.7029439999969,42.2982974399994,128.619293212891,-0.29296875,0.0703125,0.30128812789917,0.96484375,0,0,0,0,1
940.9,3.43940544128418,-83.7029439999969,42.2982926400023,128.619293212891,-0.29296875,0.0703125,0.30128812789917,0.96484375,0,0,0,0,1
941,3.47507262229919,-83.7029439999969,42.298287840001,131.777740478516,-0.29296875,0.0701822936534882,0.301258534193039,0.96484375,0,0,0,0,1
941.1,3.51132988929749,-83.7029439999969,42.2982830399996,131.777740478516,-0.29296875,0.0700520798563957,0.301228940486908,0.96484375,0,0,0,0,1
941.2,3.57659697532654,-83.7029439999969,42.2982782400004,135.557586669922,-0.29296875,0.069791667163372,0.301169782876968,0.96484375,0,0,0,0,1
941.3,3.654296875,-83.7029439999969,42.2982734399991,135.557586669922,-0.29296875,0.0699218735098839,0.301199376583099,0.96484375,0,0,0,0,1
